Species,Tissue, Replication,Gender,RPKM
hsa,br,1,M,580.2011
hsa,br,2,M,699.8503
hsa,br,3,M,591.9837
hsa,br,4,M,383.8992
hsa,br,5,M,404.0338
hsa,br,1,F,541.8783
hsa,cb,1,M,390.1104
hsa,cb,1,F,858.2776
hsa,ht,1,M,497.8182
hsa,ht,2,M,624.5252
hsa,ht,1,F,499.3967
hsa,kd,1,M,364.4298
hsa,kd,2,M,439.3289
hsa,kd,1,F,290.617
hsa,lv,1,M,317.2687
hsa,lv,2,M,503.4882
hsa,ts,1,M,333.0352
hsa,ts,2,M,309.6564
ptr,br,1,M,579.3348
ptr,br,2,M,676.9865
ptr,br,3,M,515.023
ptr,br,4,M,466.8137
ptr,br,5,M,619.5473
ptr,br,1,F,417.295
ptr,cb,1,M,573.5029
ptr,cb,1,F,317.6867
ptr,ht,1,M,843.058
ptr,ht,1,F,429.0545
ptr,kd,1,M,415.4719
ptr,kd,1,F,194.1998
ptr,lv,1,M,578.382
ptr,lv,1,F,562.4506
ptr,ts,1,M,171.1391
ppa,br,1,M,519.6314
ppa,br,2,F,776.6069
ppa,br,2,F,557.7889
ppa,br,1,M,519.6314
ppa,br,1,F,776.6069
ppa,br,2,F,557.7889
ppa,cb,1,M,320.9645
ppa,cb,1,F,297.4985
ppa,ht,1,M,430.0082
ppa,ht,1,F,721.1805
ppa,kd,1,M,316.1087
ppa,kd,1,F,251.9796
ppa,lv,1,M,268.1145
ppa,lv,1,F,288.0089
ppa,ts,1,M,132.3174
ggo,br,1,M,528.6835
ggo,br,1,F,719.0777
ggo,cb,1,M,331.2003
ggo,cb,1,F,423.3897
ggo,ht,1,M,502.653
ggo,ht,1,F,793.1832
ggo,kd,1,M,391.6363
ggo,kd,1,F,388.0581
ggo,lv,1,M,344.4167
ggo,lv,1,F,378.4767
ggo,ts,1,M,228.5635
ppy,br,1,M,896.8666
ppy,br,1,F,755.9335
ppy,cb,1,F,570.6671
ppy,ht,1,M,1134.747
ppy,ht,1,F,719.4792
ppy,kd,1,M,348.0813
ppy,kd,1,F,655.764
ppy,lv,1,M,324.8413
ppy,lv,1,F,1055.246
mml,br,1,M,500.4782
mml,br,2,M,464.358
mml,br,1,F,419.3543
mml,cb,1,M,288.6677
mml,cb,1,F,277.1665
mml,ht,1,M,379.3103
mml,ht,1,F,627.4655
mml,kd,1,M,240.5758
mml,kd,1,F,175.0018
mml,lv,1,M,238.1636
mml,lv,1,F,237.398
mml,ts,1,M,172.1407
mml,ts,2,M,168.6469
